"Name","RMSPE_ratio"
"Karl Marx",4.7050182015342
"Bakunin",2.02137328201029
"Blanqui",0.998078399701485
"Bruno Hildebrand",NA
"Charles Fourier",1.26296299648587
"Eduard Bernstein",0.898237650674574
"Edward Bellamy",0.416336616633733
"Eugen Dühring",NA
"Ferdinand Lassalle",1.30784755908474
"John Ruskin",0.76268781125329
"Kropotkin",1.14093729334758
"Laspeyres",NA
"Lujo Brentano",1.58755553374214
"Moses Hess",1.24985210039991
"Proudhon",1.66890306435189
"Robert Owen",1.17489541049176
"Rodbertus",0.596635514940037
"Sismondi",1.22865937025305
"Thomas Carlyle",0.627385034242717
