"Name","RMSPE_ratio"
"Karl Marx",5.78111239247346
"Bakunin",2.02319278632001
"Blanqui",1.01337073437046
"Bruno Hildebrand",NA
"Charles Fourier",1.21068597135659
"Eduard Bernstein",1.18132297448929
"Edward Bellamy",0.444802805855403
"Eugen Dühring",NA
"Ferdinand Lassalle",1.52991070741716
"Henry George",0.826751202921507
"John Ruskin",0.909984400387007
"Kropotkin",0.901002459711995
"Laspeyres",NA
"Lujo Brentano",1.07646563042754
"Moses Hess",1.00045692520287
"Proudhon",0.865206629660774
"Robert Owen",2.17879254743554
"Rodbertus",0.603973740910736
"Sismondi",1.26454298543183
"Thomas Carlyle",0.544586489425507
