"Name","RMSPE_ratio"
"Karl Marx",6.1371127402089
"August Bebel",1.14459336063315
"Bakunin",2.0215904246315
"Blanqui",1.64590013851559
"Bruno Hildebrand",NA
"Charles Fourier",1.0961415402414
"Eduard Bernstein",0.272800086641895
"Edward Bellamy",0.490699733750127
"Eugen Dühring",NA
"Ferdinand Lassalle",1.20272487336984
"Henry George",0.826748340650281
"John Ruskin",0.901252161404529
"Kropotkin",0.892257088863013
"Laspeyres",NA
"Lujo Brentano",0.977978125309157
"Moses Hess",0.497340829731104
"Proudhon",0.865619840451614
"Robert Owen",2.23886166484507
"Rodbertus",0.605470923415531
"Sismondi",1.22093686978748
"Thomas Carlyle",0.549422089706944
