"Name","RMSPE_ratio"
"Karl Marx",5.81738789036782
"August Bebel",1.46664886053813
"Bakunin",2.03988353463845
"Blanqui",1.32776410588413
"Bruno Hildebrand",NA
"Charles Fourier",1.58010632512854
"Eduard Bernstein",0.272694433881661
"Edward Bellamy",0.772079714849903
"Eugen Dühring",NA
"Ferdinand Lassalle",1.28952788442038
"Henry George",0.826608694656688
"John Ruskin",0.920059566223518
"Kropotkin",1.58662682300035
"Laspeyres",NA
"Lujo Brentano",1.3223960547327
"Moses Hess",0.496522032262989
"Proudhon",0.940269404459193
"Robert Owen",2.21064508837985
"Rodbertus",0.607231529491584
"Sismondi",1.2210615881984
"Sombart",2.19120995033201
"Thomas Carlyle",0.536950477269096
